Date,Calories In
2019-01-01,0
2019-01-02,1561
2019-01-03,1981
2019-01-04,2090
2019-01-05,3112
2019-01-06,378
2019-01-07,2010
2019-01-08,1916
2019-01-09,3254
2019-01-10,2130
2019-01-11,2419
2019-01-12,2378
2019-01-13,2668
2019-01-14,2102
2019-01-15,1921
2019-01-16,1593
2019-01-17,1765
2019-01-18,1411
2019-01-19,0
2019-01-20,0
2019-01-21,1246
2019-01-22,1922
2019-01-23,1522
2019-01-24,1942
2019-01-25,1871
2019-01-26,2590
2019-01-27,2180
2019-01-28,1457
2019-01-29,1759
2019-01-30,1229
2019-01-31,1989
2019-02-01,1717
2019-02-02,2267
2019-02-03,1954
2019-02-04,1202
2019-02-05,2345
2019-02-06,1182
2019-02-07,1429
2019-02-08,2288
2019-02-09,3139
2019-02-10,1250
2019-02-11,1605
2019-02-12,1719
2019-02-13,1384
2019-02-14,2830
2019-02-15,1595
2019-02-16,1702
2019-02-17,1648
2019-02-18,1410
2019-02-19,1613
2019-02-20,2019
2019-02-21,1557
2019-02-22,1823
2019-02-23,1846
2019-02-24,1973
2019-02-25,1358
2019-02-26,1515
2019-02-27,3233
2019-02-28,1749
